collected_at,rank,name,appid,player_count
2026-02-19T21:45:02,3,"PUBG: BATTLEGROUNDS",578080,118903
2026-02-19T21:45:02,4,"Wallpaper Engine",431960,57391
2026-02-19T21:45:02,5,"ARC Raiders",1808500,197256
2026-02-19T21:45:02,6,Terraria,105600,74849
2026-02-19T21:45:02,7,"Apex Legends™",1172470,63457
2026-02-19T21:45:02,8,"HELLDIVERS™ 2",553850,97790
2026-02-19T21:45:02,9,"Overwatch®",2357570,106155
2026-02-19T21:45:02,10,"Geometry Dash",322170,60664
2026-02-19T22:00:02,1,"Counter-Strike 2",730,721084
2026-02-19T22:00:02,2,"Dota 2",570,477013
2026-02-19T22:00:02,3,"PUBG: BATTLEGROUNDS",578080,118903
2026-02-19T22:00:02,4,"Wallpaper Engine",431960,57391
2026-02-19T22:00:02,5,"ARC Raiders",1808500,195594
2026-02-19T22:00:02,6,Terraria,105600,75119
2026-02-19T22:00:02,7,"Apex Legends™",1172470,64789
2026-02-19T22:00:02,8,"HELLDIVERS™ 2",553850,97288
2026-02-19T22:00:02,9,"Overwatch®",2357570,106155
2026-02-19T22:00:02,10,"Geometry Dash",322170,59276
2026-02-19T22:15:01,1,"Counter-Strike 2",730,721084
2026-02-19T22:15:01,2,"Dota 2",570,477013
2026-02-19T22:15:01,3,"PUBG: BATTLEGROUNDS",578080,128342
2026-02-19T22:15:01,4,"Wallpaper Engine",431960,58744
2026-02-19T22:15:01,5,"ARC Raiders",1808500,195594
2026-02-19T22:15:01,6,Terraria,105600,74642
2026-02-19T22:15:01,7,"Apex Legends™",1172470,65254
2026-02-19T22:15:01,8,"HELLDIVERS™ 2",553850,96243
2026-02-19T22:15:01,9,"Overwatch®",2357570,103940
2026-02-19T22:15:01,10,"Geometry Dash",322170,57241
2026-02-19T22:30:01,1,"Counter-Strike 2",730,712119
2026-02-19T22:30:01,2,"Dota 2",570,474080
2026-02-19T22:30:01,3,"PUBG: BATTLEGROUNDS",578080,128342
2026-02-19T22:30:01,4,"Wallpaper Engine",431960,60756
2026-02-19T22:30:01,5,"ARC Raiders",1808500,187425
2026-02-19T22:30:01,6,Terraria,105600,74642
2026-02-19T22:30:01,7,"Apex Legends™",1172470,65254
2026-02-19T22:30:01,8,"HELLDIVERS™ 2",553850,96243
2026-02-19T22:30:01,9,"Overwatch®",2357570,103940
2026-02-19T22:30:01,10,"Geometry Dash",322170,57241
2026-02-19T22:45:01,1,"Counter-Strike 2",730,697740
2026-02-19T22:45:01,2,"Dota 2",570,474213
2026-02-19T22:45:01,3,"PUBG: BATTLEGROUNDS",578080,134213
2026-02-19T22:45:01,4,"Wallpaper Engine",431960,61563
2026-02-19T22:45:01,5,"ARC Raiders",1808500,182993
2026-02-19T22:45:01,6,Terraria,105600,73530
2026-02-19T22:45:01,7,"Apex Legends™",1172470,66201
2026-02-19T22:45:01,8,"HELLDIVERS™ 2",553850,94390
2026-02-19T22:45:01,9,"Overwatch®",2357570,100640
2026-02-19T22:45:01,10,"Geometry Dash",322170,53234
2026-02-19T23:00:02,1,"Counter-Strike 2",730,691595
2026-02-19T23:00:02,2,"Dota 2",570,472272
2026-02-19T23:00:02,3,"PUBG: BATTLEGROUNDS",578080,137477
2026-02-19T23:00:02,4,"Wallpaper Engine",431960,62322
2026-02-19T23:00:02,5,"ARC Raiders",1808500,178232
2026-02-19T23:00:02,6,Terraria,105600,72689
2026-02-19T23:00:02,7,"Apex Legends™",1172470,66295
2026-02-19T23:00:02,8,"HELLDIVERS™ 2",553850,90219
2026-02-19T23:00:02,9,"Overwatch®",2357570,98620
2026-02-19T23:00:02,10,"Geometry Dash",322170,51676
2026-02-19T23:15:02,1,"Counter-Strike 2",730,686550
2026-02-19T23:15:02,2,"Dota 2",570,472272
2026-02-19T23:15:02,3,"PUBG: BATTLEGROUNDS",578080,137477
2026-02-19T23:15:02,4,"Wallpaper Engine",431960,62322
2026-02-19T23:15:02,5,"ARC Raiders",1808500,178232
2026-02-19T23:15:02,6,Terraria,105600,72689
2026-02-19T23:15:02,7,"Apex Legends™",1172470,66384
2026-02-19T23:15:02,8,"HELLDIVERS™ 2",553850,90219
2026-02-19T23:15:02,9,"Overwatch®",2357570,98620
2026-02-19T23:15:02,10,"Geometry Dash",322170,51676
2026-02-19T23:30:02,1,"Counter-Strike 2",730,683780
2026-02-19T23:30:02,2,"Dota 2",570,470036
2026-02-19T23:30:02,3,"PUBG: BATTLEGROUNDS",578080,148349
2026-02-19T23:30:02,4,"Wallpaper Engine",431960,64481
2026-02-19T23:30:02,5,"ARC Raiders",1808500,166825
2026-02-19T23:30:02,6,Terraria,105600,70774
2026-02-19T23:30:02,7,"Apex Legends™",1172470,67188
2026-02-19T23:30:02,8,"HELLDIVERS™ 2",553850,84607
2026-02-19T23:30:02,9,"Overwatch®",2357570,93454
2026-02-19T23:30:02,10,"Geometry Dash",322170,46587
2026-02-19T23:45:02,1,"Counter-Strike 2",730,688485
2026-02-19T23:45:02,2,"Dota 2",570,470036
2026-02-19T23:45:02,3,"PUBG: BATTLEGROUNDS",578080,148349
2026-02-19T23:45:02,4,"Wallpaper Engine",431960,65580
2026-02-19T23:45:02,5,"ARC Raiders",1808500,160930
2026-02-19T23:45:02,6,Terraria,105600,70081
2026-02-19T23:45:02,7,"Apex Legends™",1172470,68714
